City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
579,Nara,JP,60.17,moderate rain,34.6851,135.8049,Guesthouse Nara Komachi
580,Lekoni,GA,73.06,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
581,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
583,Sembe,CG,68.67,light rain,1.6481,14.5806,
585,Puerto Del Rosario,ES,71.28,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
586,Tura,IN,65.86,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
587,Souillac,MU,74.35,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
589,Matara,LK,76.69,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
590,Lazaro Cardenas,MX,77.02,overcast clouds,17.9583,-102.2,quinta antigua
591,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
